mode,N,p,d,sig2e,beta,re_prior,q0,sig2b0,sig2b1,sig2b2,rho0,rho1,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,1,vae-embed,4.735230886,,,,,,,200,113.7321687,239.7867279,239.7300568,56.7093811,,473.8735962,473.8161011,57.57395172,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,1,lmmvae,1.658968862,,0.6714347,0.238896251,0.108267762,,,200,213.970325,111.9952393,110.9753342,19.96545219,999.9074707,123.920639,122.6418381,21.07526207,1257.738892
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,2,pca-ignore,4.777784331,,,,,,,,1.025747299,140.3429774,,,,191.9791915,,,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,2,vae-ignore,4.59010789,,,,,,,200,93.65154672,221.4675293,221.4602509,7.154477119,,459.2374878,459.2308044,7.234004021,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,2,vae-embed,4.604128342,,,,,,,200,113.3098595,222.111969,222.1019745,10.06889725,,460.6621399,460.6518555,10.06317806,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,2,lmmvae,1.607017931,,0.673098624,0.225679219,0.10604284,,,200,212.607265,107.8103485,106.8161392,8.480210304,985.8123779,116.2669754,115.034523,8.346680641,1224.110718
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,3,pca-ignore,4.720005699,,,,,,,,1.060807705,141.0468304,,,,192.9915275,,,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,3,vae-ignore,4.574258962,,,,,,,200,94.12625384,221.5730286,221.5218048,51.02843094,,457.7429504,457.6883545,54.30302048,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,3,vae-embed,4.556837904,,,,,,,200,113.14535,220.7247467,220.7120209,13.31791401,,455.9559631,455.9421997,13.6384058,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,3,lmmvae,1.609545301,,0.676937699,0.223324686,0.094633475,,,200,212.9754448,107.8948746,106.8860855,7.242496014,1001.510925,113.9017029,112.6799088,7.356239796,1214.429932
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,4,pca-ignore,4.714423136,,,,,,,,1.082066536,140.9588779,,,,192.8838654,,,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,4,vae-ignore,4.543544672,,,,,,,200,94.0515151,219.9816437,219.9740448,7.724824905,,454.6320496,454.624115,7.939310074,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,4,vae-embed,4.563071644,,,,,,,200,113.1499822,221.2168732,221.2057037,10.97987366,,456.5651855,456.5538635,11.26792622,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,4,lmmvae,1.675576257,,0.675667107,0.225738794,0.103870563,,,200,212.7487178,114.5288162,113.5087891,7.363688469,1012.773376,120.5316238,119.3033524,7.424289703,1220.835571
longitudinal,100000,100,2,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,0,pca-ignore,4.857338497,,,,,,,,1.528515577,138.101701,,,,185.8563291,,,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,0,vae-ignore,4.678808871,,,,,,,200,96.35724902,235.1927948,235.1091461,83.75149536,,468.2208862,468.1376648,83.82922363,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,3,0.3,0.3,0.3,FALSE,0.0001,0,vae-embed,4.539270382,,,,,,,200,115.5108263,221.9631958,221.9452057,18.21867371,,454.2070923,454.1889648,18.43478584,
