mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,0,vae-embed,1.660129538,,,,200,114.0410786,160.771286,160.7173767,542.4137573,,166.1014709,166.0470428,544.9371948,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,0,lmmvae,1.203954061,,3.199747562,,200,191.4075248,191.3953319,188.6870575,25.23012733,27057.51367,172.5506058,169.8240204,25.13187599,27240.72266
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,1,pca-ignore,3.331318182,,,,,1.059509993,133.1742382,,,,133.1161476,,,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,1,vae-ignore,1.636707304,,,,200,96.37793326,163.0410004,163.0349426,59.43455505,,163.6979675,163.6920319,59.39438629,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,1,vae-embed,1.620870125,,,,200,113.797452,155.1757202,155.1405792,349.3322754,,162.1449127,162.1099548,349.332489,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,1,lmmvae,1.280019074,,2.680930853,,200,191.4177322,176.6496843,174.1286011,139.0176849,25071.81445,161.4715549,158.9721069,137.9872437,24856.49219
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,2,pca-ignore,3.43212833,,,,,1.491605043,133.2525614,,,,133.4508766,,,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,2,vae-ignore,1.733587396,,,,200,96.12553883,170.9695435,170.9636383,59.08454514,,173.3784332,173.372467,59.22508621,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,2,vae-embed,1.789830775,,,,200,113.4182618,170.5253754,170.4896545,355.8122864,,179.0526428,179.0169678,356.5700989,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,2,lmmvae,1.212170705,,2.610594988,,200,190.8893735,177.6126396,175.4917603,22.74828911,21186.04492,163.6114429,161.4826965,22.8483429,21264.61523
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,3,pca-ignore,3.194006938,,,,,1.745814085,131.3185225,,,,131.3738573,,,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,3,vae-ignore,1.796922232,,,,200,96.8446846,177.7975311,177.7669067,306.0140381,,179.7424774,179.7122192,302.1465149,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,3,vae-embed,1.691910806,,,,200,113.6448479,162.4303131,162.3833771,468.3074646,,169.2718353,169.2254028,466.2781372,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,3,lmmvae,1.171202702,,2.668413162,,200,191.7031753,183.6765967,181.2843323,23.89838791,23898.74609,166.7491751,164.3509064,24.00518608,23958.68164
