,mode,N,p,d,sig2e,beta,re_prior,q0,q1,q2,sig2b0,sig2b1,sig2b2,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,n_epochs,time
112,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,3,vae-ohe,5.771212318197397,,,,,200,457.42756509780884
113,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,3,vae-embed,5.851353963659819,,,,,200,85.33373737335205
114,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,3,lmmvae,1.9126770403735858,,0.005468064919114113,0.21623115241527557,2.2189207077026367,200,119.80896639823914
115,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,4,pca-ignore,6.083067938044021,,,,,,0.4946258068084717
116,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,4,pca-ohe,6.177839256584198,,,,,,30.982752323150635
117,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,4,vae-ignore,5.695456863852417,,,,,200,57.93524122238159
118,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,4,vae-ohe,5.876589213962559,,,,,200,458.03767228126526
119,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,4,vae-embed,5.770298002453319,,,,,200,85.17168807983398
120,categorical,100000,100,2,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,4,lmmvae,1.7867916798998158,,0.005596050526946783,0.20905761420726776,2.2616379261016846,200,118.62951612472534
121,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,0,pca-ignore,5.857040060490467,,,,,,0.4546318054199219
122,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,0,pca-ohe,5.892561297077354,,,,,,28.633750200271606
123,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,0,vae-ignore,5.60245980784735,,,,,200,57.75213432312012
124,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,0,vae-ohe,5.7424664591999655,,,,,200,459.5481972694397
125,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,0,vae-embed,5.637882443101299,,,,,200,85.06257963180542
126,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,0,lmmvae,1.708272034824325,,0.008134319446980953,1.0359019041061401,0.8816046118736267,200,115.55057668685913
127,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,1,pca-ignore,6.19281089303161,,,,,,0.4298257827758789
128,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,1,pca-ohe,6.220106572094775,,,,,,28.734283447265625
129,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,1,vae-ignore,6.013012149534369,,,,,200,57.55040621757507
130,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,1,vae-ohe,6.073285668921496,,,,,200,461.1981682777405
131,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,1,vae-embed,6.032146476776296,,,,,200,85.02491116523743
132,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,1,lmmvae,1.9158076456548088,,0.008075202815234661,1.18223237991333,0.9275112748146057,200,114.88643550872803
133,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,2,pca-ignore,5.673495339531195,,,,,,0.42450571060180664
134,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,2,pca-ohe,5.697348412037857,,,,,,29.24511957168579
